eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/07/2014 19:44:21
#Cmp ( order = Reference )
| C1         0,1uF       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R5         100k        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R6         0,1ohm      ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R7         100k        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R8         100k        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R9         1k          ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R10        1k          ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| RV1        POT         ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| 0,1uF        C1        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C2        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C3        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C4        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C5        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C6        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C9        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1uF        C10       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 1,0uF        C7        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 1uF          C13       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 33uF         C8        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| DIODESCH     D1        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 15V          D2        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| DIODESCH     D3        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LM3480       IC1       ;             ;             ;             ;             ;             ;             ;             ;             ;             
| LM20         IC3       ;             ;             ;             ;             ;             ;             ;             ;             ;             
| SI4500BDY    IC5       ;             ;             ;             ;             ;             ;             ;             ;             ;             
| SI4500BDY    IC6       ;             ;             ;             ;             ;             ;             ;             ;             ;             
| ATMEGA168-A  IC2       ; TQFP32      ;             ;             ;             ;             ;             ;             ;             ;             
| ZXCT1009     IC4       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| MOTOR        M1        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P1        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_3X2     P2        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_4       P3        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| PBRC-M       Q1        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0,1ohm       R6        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 1k           R9        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 1k           R10       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 1k5          R3        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 5k6          R2        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R1        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100k         R4        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100k         R5        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100k         R7        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100k         R8        ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| POT          RV1       ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#End List
